Ward,Booking Cancellation Rate,lat,long
Chandra Layout,31.9%,12.965293,77.5181551
Herohalli,30.2%,12.8778323,77.1017182
Agrahara Dasarahalli,26.5%,12.9790631,77.5406823
Puneet Rajkumar,31.3%,13.015033599999999,77.53371976956359
Nandini Layout,30.9%,13.0104064,77.5378032
Binnipete,43.6%,12.972283399999998,77.55950501935607
Nagavara,42.4%,13.0374647,77.623602
Rajagopal Nagar,34.0%,13.0123112,77.51386110257104
Hongasandra,41.0%,12.8974892,77.6250869
Cottonpete,53.3%,12.9656327,77.5658857
Dayananda Nagar,33.3%,12.991757849999999,77.5642956832944
Mudalapalya,31.5%,12.972678049999999,77.52162754647887
Nayandahalli,36.9%,12.9413253,77.5212118
Azad Nagar,39.5%,26.2558913,88.1905154
Sunkadakatte,36.0%,12.75909585,77.51520352361685
Mallasandra,34.7%,13.0081486,77.7837101
Kaveripura,35.5%,12.2048393,77.1062716
Hegganahalli,37.4%,13.0035647,77.5127828
Vrisabhavathi Nagar,35.2%,12.988519,77.52552179234208
Rajeshwari Nagar,37.3%,16.9876536,82.2312591
Muneshwara Nagar,46.5%,13.0155777,77.61090664984235
Lakshmi Devi Nagar,36.4%,13.0161192,77.527197
S K Garden,45.0%,13.01239565,77.59984175420259
Chalavadipalya,44.2%,12.9643692,77.56304464788067
Padarayanapura,48.6%,12.96366575,77.54756740743159
Bapuji Nagar,47.3%,22.4884855,88.3717539
Kempapura Agrahara,43.9%,12.9706228,77.5553763
Devaraj Urs Nagar,53.7%,12.960608149999999,77.55159898694129
Devara Jeevanahalli,62.3%,13.0154727,77.60572839136377
Bangalore Total,36.7%,12.9834983,77.64082650699167
